2009-08-26 13:48:48 Notice: Notice (8): Undefined property: ProductCategoriesController::$Category in [APP/controllers/product_categories_controller.php, line 8]
2009-08-26 13:48:53 Notice: Notice (8): Undefined property: ProductCategoriesController::$Category in [APP/controllers/product_categories_controller.php, line 8]
2009-08-26 14:18:57 Notice: Notice (8): Undefined property: ProductCategoriesController::$Customer in [APP/controllers/product_categories_controller.php, line 13]
2009-08-26 14:19:37 Notice: Notice (8): Undefined property: ProductCategoriesController::$Customer in [APP/controllers/product_categories_controller.php, line 13]
2009-08-26 14:26:21 Notice: Notice (8): Undefined property: ProductCategoriesController::$Customer in [APP/controllers/product_categories_controller.php, line 37]
2009-08-26 14:38:55 Notice: Notice (8): Undefined property: ProductCategoriesController::$get in [APP/controllers/product_categories_controller.php, line 12]
2009-08-26 14:39:19 Notice: Notice (8): Undefined variable: data in [APP/controllers/product_categories_controller.php, line 12]
2009-08-26 14:39:21 Notice: Notice (8): Undefined variable: data in [APP/controllers/product_categories_controller.php, line 12]
2009-08-26 14:39:21 Notice: Notice (8): Undefined variable: data in [APP/controllers/product_categories_controller.php, line 12]
2009-08-26 14:44:08 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 12]
2009-08-26 14:46:05 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 13]
2009-08-26 14:58:45 Notice: Notice (8): Undefined index:  parent in [APP/controllers/product_categories_controller.php, line 13]
2009-08-26 15:26:42 Notice: Notice (8): Undefined property: ProductCategoriesController::$Customer in [APP/controllers/product_categories_controller.php, line 42]
2009-08-26 15:27:53 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:42:01 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:42:03 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:42:19 Notice: Notice (8): Undefined property: ProductCategoriesController::$Customer in [APP/controllers/product_categories_controller.php, line 50]
2009-08-26 15:42:24 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:44:07 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:44:17 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:44:18 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:44:24 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:44:49 Notice: Notice (8): Undefined index:  parent_id in [APP/controllers/product_categories_controller.php, line 13]
2009-08-26 15:44:49 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:44:57 Notice: Notice (8): Undefined index:  parent_id in [APP/controllers/product_categories_controller.php, line 13]
2009-08-26 15:44:57 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:45:06 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:45:29 Notice: Notice (8): Undefined variable: parentCategory in [APP/views/product_categories/add.ctp, line 7]
2009-08-26 15:48:31 Notice: Notice (8): Undefined property: ProductCategoriesController::$Customer in [APP/controllers/product_categories_controller.php, line 53]
2009-08-26 16:03:40 Notice: Notice (8): Use of undefined constant ProductCategory - assumed 'ProductCategory' in [APP/views/product_categories/edit.ctp, line 7]
2009-08-26 16:03:40 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/views/product_categories/edit.ctp, line 7]
2009-08-26 16:03:45 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [APP/views/product_categories/edit.ctp, line 7]
2009-08-26 16:03:45 Notice: Notice (8): Undefined variable: ProductCategory in [APP/views/product_categories/edit.ctp, line 7]
2009-08-26 16:03:52 Notice: Notice (8): Undefined variable: ProductCategory in [APP/views/product_categories/edit.ctp, line 7]
2009-08-26 16:03:52 Notice: Notice (8): Trying to get property of non-object in [APP/views/product_categories/edit.ctp, line 7]
2009-08-26 16:03:57 Notice: Notice (8): Undefined property: View::$id in [APP/views/product_categories/edit.ctp, line 7]
2009-08-28 09:03:18 Notice: Notice (8): Undefined property: AccountsController::$AccountType in [APP/controllers/accounts_controller.php, line 32]
2009-08-28 09:03:26 Notice: Notice (8): Undefined variable: AccountType in [APP/controllers/accounts_controller.php, line 32]
2009-08-28 09:05:58 Notice: Notice (8): Undefined property: AccountsController::$AccountType in [APP/controllers/accounts_controller.php, line 36]
2009-08-28 09:06:07 Notice: Notice (8): Undefined variable: account_types in [APP/controllers/accounts_controller.php, line 37]
2009-08-28 09:17:03 Notice: Notice (8): Object of class ProductCategoriesController to string conversion in [APP/app_controller.php, line 16]
2009-08-28 09:17:03 Notice: Notice (8): Undefined property: ProductCategoriesController::$Object in [APP/app_controller.php, line 16]
2009-08-28 09:20:08 Notice: Notice (8): Object of class ProductCategoriesController to string conversion in [APP/app_controller.php, line 16]
2009-08-28 09:20:08 Notice: Notice (8): Undefined property: ProductCategoriesController::$Object in [APP/app_controller.php, line 16]
